COMUNA,CODIGO DANE ,INSTITUCIÓN EDUCATIVA OFICIAL,ESPECIALIDAD,NIVEL EDUCATIVO,BARRIO,DIRECCION,TELEFONO
8,17600100168102,CACIQUE DE GUATAVITA,ACADEMICA,PRIMARIA - ACELERACIÓN,CHAPINERO,CALLE 54 #15 A 20,(572) 3268817
8,17600100168103,ABRAHAN DOMINGUEZ,ACADEMICA,PRIMARIA,EL TREBOL,CARRERA 14 #17-19,(572) 4489868
8,176001003586,I. E JUAN DE AMPUDIA ,MEDIA TECNICA,SECUNDARIA - MEDIA,LA BASE,CARRERA 12 #57-13,(572) 3809395
8,17600100358602,JARDIN NACIONAL NO.1,ACADEMICA,PRIMARIA,LA BASE,CALLE 58 #11 B 48,(572) 3816357
8,17600100358603,ONCE DE NOVIEMBRE,ACADEMICA,PRIMARIA,VILLACOLOMBIA,CARRERA 11 D #52-09,(572) 3809213
8,176001004329,I. E EVARISTO GARCIA ,ACADEMICA - CASD,PRIMARIA - SECUNDARIA - MEDIA,SAAVEDRA GALINDO,CALLE 32 #17-41,(572) 4415856
8,17600100432902,SAAVEDRA GALINDO,ACADEMICA,PRIMARIA,SAAVEDRA GALINDO,CARRERA 17F TRASVERSAL 31-00,338-14-42
8,17600100432903,FERNANDO DE ARAGON,ACADEMICA,PRIMARIA - ACELERACIÓN,SANTA MONICA POPULAR ,CALLE 28A DIAGONALONAL 20,(572) 6626957 - (572) 6622018
8,17600100432904,JOSE HILARIO LOPEZ,ACADEMICA,PRIMARIA,PRIMITIVO CRESPO,CALLE 27 #17G-19,(572) 8818619 - (572) 3744559
9,176001005368,I.E REPUBLICA DE ARGENTINA,ACADEMICA - MEDIA TECNICA,PRIMARIA - ACELERACIÓN - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,OBRERO,CARRERA 11D #23-49,(572) 8853626
9,17600100536802,POLICARPA SALAVARRIETA,ACADEMICA,PRIMARIA,OBRERO,CARRERA 11 #22A-30,(572) 8853626
9,17600100536803,JOSE MARIA CORDOBA,ACADEMICA,PRIMARIA,SUCRE,CALLE 18 #8A-15,(572) 8818662
9,17600100536804,SEBASTIAN DE BELALCAZAR,ACADEMICA,PRIMARIA,SUCRE,CALLE 17  #14-57,(572) 8835409
9,176001001702,I.E GENERL ALFREDO VASQUEZ COBO ,ACADEMICA - MEDIA TECNICA,SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,ARANJUEZ,CALLE 15A  #22A-37 ,(572) 3741844
9,17600100170202,REPUBLICA DEL ECUADOR ,ACADEMICA,PRIMARIA,GUAYAQUIL,CALLE 16  #18A-54,338-14-42
9,17600100170203,NUESTRA SEÑORA DE LOS REMEDIOS ,ACADEMICA,PRIMARIA - ACELERACIÓN,BELALCAZAR,CARRERA 17 D  #18-46,(572) 4036309
9,176001001753,I.E ANTONIO JOSE CAMACHO,TECNICO INDUSTRIAL,SECUNDARIA - MEDIA,GUAYAQUIL,CARRERA 16 #12-00,(572) 5582689 - (572) 5587194 EXT. 101-109-110
9,17600100175302,REPUBLICA DEL PERU,ACADEMICA,PRIMARIA,BRETAÑA,CALLE 9E #23-02,(572) 3102157
9,17600100175304,JARDIN INFANTIL DIVINO SALVADOR,ACADEMICA,PRIMARIA,GUAYAQUIL,CARRERA 15 #6-110,(572) 5574175
9,17600100175305,OLGA LUCIA LLOREDA,ACADEMICA,PRIMARIA,JUNIN,CARRERA 23A #13B 11,(572) 5574175
10,176001020359,I.E RAFAEL NAVIA VARON,TECNICO INDUSTRIAL,SECUNDARIA - MEDIA,DEPARTAMENTAL,CALLE 11 #45-46,(572) 5547094
10,17600102035902,FRANCISCO MONTES IDROBO,ACADEMICA,PRIMARIA,DEPARTAMENTAL,CALLE 12 #42-45,(572) 5579902
10,17600102035903,PANAMERICANA,ACADEMICA,PRIMARIA,PANAMERICANO,CALLE 12B #48BIS - 16,(572) 5579902
10,176001004531,I.E NORMAL SUPERIOR SANTIAGO DE CALI,ACADEMICA - MEDIA TECNICA,SECUNDARIA - MEDIA - COMPLEMENTARIO,COLSEGUROS,CARRERA 33A #12-60,(572) 3356233
10,17600100453102,JOAQUIN DE CAICEDO Y CUERO,ACADEMICA,PRIMARIA,OLIMPICO,CARRERA 36A #12C-00,(572) 3351810
10,176001001796,I.E JOSE MARIA VIVAS BALCAZAR ,ACADEMICA - MEDIA TECNICA,SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,LA SELVA,CALLE 14 #48A-32,(572) 3351363
10,17600100179602,FERNANDO VELASCO,ACADEMICA,PRIMARIA - CICLOS EDUCACIÓN PARA ADULTOS,SAN JUDAS,CALLE 23 #44A-16,(572) 3351541
10,17600100179603,SANTO DOMINGO,ACADEMICA,PRIMARIA,SANTO DOMINGO,CARRERA 47 #13C-100,(572) 3260229
10,176001007166,I.E JOSE MARIA CARBONELL,ACADEMICA - TECNICO INDUSTRIAL,SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,COLSEGUROS,CALLE 13 #32-88,(572) 4854535 - (572) 4854534
10,17600100716602,HONORIO VILLEGAS,ACADEMICA,PRIMARIA,EL DORADO,CARRERA 37A #13A- 20,(572) 3799046
10,17600100716603,ISABEL DE CASTILLA,ACADEMICA,PRIMARIA,CRISTOBAL COLON,CARRERA 33 #15-82,(572) 3799580
10,176001005716,I.E JOAQUIN DE CAYZEDO Y CUERO ,ACADEMICA - MEDIA TECNICA,SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,CRISTOBAL COLON,CARRERA  35 #15-33,3706868 / 3352170 / 3352383
10,17600100571602,CAMILO TORRES,ACADEMICA,PRIMARIA - SECUNDARIA,COLSEGURO,CARRERA 24 #10A-98,(572) 5580905
10,17600100571603,SAN ROQUE,ACADEMICA,PRIMARIA - ACELERACIÓN - SECUNDARIA,CRISTOBAL COLON,CARRERA 32A #15A-59,(572) 3365639
10,17600100571604,GENERAL CARLOS ALBAN,ACADEMICA,PRIMARIA - ACELERACIÓN,SANTA ELENA ,CALLE 18A #24-65,(572) 8828377
10,176001008642,I.E CARLOS HOLGUIN LLOREDA ,ACADEMICA - CASD,SECUNDARIA - MEDIA,EL GUABAL ,CARRERA 40 #18- 85,(572) 3362316
10,17600100864202,SANTA ELENA ,ACADEMICA,PRIMARIA,SANTA ELENA ,CALLE 23 #32-79,(572) 3347584
10,17600100864203,REPUBLICA DE COSTA RICA ,ACADEMICA,PRIMARIA - ACELERACIÓN - CICLOS EDUCACIÓN PARA ADULTOS,EL GUABAL ,CARRERA 40 #14C ,(572) 3372822
10,17600100864204,JARDIN NACIONAL N°2,ACADEMICA,PRIMARIA,EL GUABAL ,CARRERA 42A #14B-15,(572) 3344750
11,176001005121,I.E TECNICO  COMERCIAL  VILLA DEL SUR ,MEDIA TECNICA,PRIMARIA,CIUDAD MODELO,CALLE 30 A #41 E 99,3799296-3799297
11,176001002962,SUSANA VINASCO DE QUINATANA ,ACADEMICA,SECUNDARIA - MEDIA,SAN CARLOS,CALLE 31 A #33,3369561 - 3262678
11,176001006119,I.E FRANCISCO DE PAULA SANTANDER ,ACADEMICA - MEDIA TECNICA,SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,EL JARDIN,CALLE 27 #31A-60,(572) 3352352
11,17600100611902,JULIO ARBOLEDA,ACADEMICA,PRIMARIA - ACELERACIÓN,LOS CONQUISTADORES,CALLE 35E #30-24,337-47-46
11,17600100611903,LEON XIII,ACADEMICA,PRIMARIA - SECUNDARIA,LEON XIII,CALLE 35E #29B,(572) 4454379
11,17600100611904,SAN PEDRO CODENAL,ACADEMICA,PRIMARIA,SAN PEDRO CLAVEL,CARRERA 31D #31 10,338-14-42
11,17600100611905,JOSE VICENTE CONCHA,ACADEMICA,PRIMARIA - ACELERACIÓN - SECUNDARIA,LA FORTALEZA,CARRERA 30 A #30A-27,337-47-46
11,176001002881,I.E DIEZ DE  MAYO ,ACADEMICA - TECNICO INDUSTRIAL,PRIMARIA - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,AGUABLANCA,CARRERA 25A #26A-13,(572) 3345871
11,17600100288102,INSTITUCION EDUCATIVA REPUBLICA DE ITALIA,ACADEMICA,PRIMARIA,AGUABLANCA,CARRERA 24B CALLE 26B,(572) 3213046
11,176001005805,I.E CIUDAD MODELO ,ACADEMICA - CASD,PRIMARIA - SECUNDARIA - MEDIA,CIUDAD MODELO,CARRERA 40B #31C,(572) 3372920
11,17600100580502,LA PRIMAVERA,ACADEMICA - CASD,PRIMARIA - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,LA PRIMAVERA,CARRERA 35 #34C-21,3265442-3341837
11,176001005341,I.E CIUDAD DE CALI ,ACADEMICA - MEDIA TECNICA,SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,PRADO DE ORIENTE,CALLE 30 #25-00,(572) 3351417
11,17600100534102,EL RECUERDO,ACADEMICA,PRIMARIA,EL RECUERDO,CARRERA 26 #29-25,(572) 4412402
11,17600100534103,GENERAL ALFREDO VASQUEZ  COBO,MEDIA TECNICA,PRIMARIA - SECUNDARIA - MEDIA,20 DE JULIO,DIAGONAL 23 #T25-25,(572) 3374312
11,176001008791,I.E BOYACA ,ACADEMICA - MEDIA TECNICA,SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,BOYACA,CARRERA 33A #25-25,(572) 3353916
11,17600100879102,SANTO DOMINGO ,ACADEMICA,PRIMARIA,EL JARDIN,CARRERA  29A #26B-64,(572) 3353916
11,17600100879103,LA INDEPENDENCIA,ACADEMICA,PRIMARIA - SECUNDARIA,LA INDEPENDENCIA,CARRERA  39 #26C-30,(572) 3353916
11,176001029411,I. E AGUSTIN NIETO CABALLERO ,MEDIA TECNICA,SECUNDARIA - MEDIA,EL JARDIN,CARRERA 37 #26 C 51,3367288 / 3352344
11,17600102941102,MARINO RENGIFO SALCEDO,MEDIA TECNICA,PRIMARIA - SECUNDARIA - MEDIA,VILLA DEL SUR,CALLE 26 C #44-00,(572) 3367287
11,17600102941103,JOSE MARIA VIVAS BALCAZAR,ACADEMICA,PRIMARIA - ACELERACIÓN,EL JARDIN,CARRERA 36 #26B 28,(572) 3344663
11,17600102941104,ANTONIO RICAURTE,ACADEMICA,PRIMARIA,JOSE HOLGUIN GARCES,CALLE 26 B CON CARRERA 46,(572) 3261040
12,176001002989,I.E MARICE SINISTERRA,TECNICO INDUSTRIAL,PRIMARIA - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,EL RODEO,CALLE 39 #25A-43,(572) 4453459
12,17600100298902,ASTURIAS,ACADEMICA,PRIMARIA - CICLOS EDUCACIÓN PARA ADULTOS,ASTURIA,CARRERA 24B #43-40,(572) 4485469
12,17600100298903,FENALCO ASTURIAS,ACADEMICA,PRIMARIA,FENALCO KENNEDY,CALLE 44  #25A-12,(572) 4416596
12,176001003951,I.E JULIO CAICEDO Y TELLEZ ,ACADEMICA - CASD,PRIMARIA - SECUNDARIA - MEDIA,NUEVA FLORESTA,CALLE  59 #24B-40,"4380308
4442237"
12,17600100395102,BATALLA DE CARABOBO,ACADEMICA,PRIMARIA,NUEVA FLORESTA,CALLE  51 #16-00,(572) 4412610
12,17600100395103,FRANCISCO DE PAULA SANTANDER,ACADEMICA - CASD,PRIMARIA - SECUNDARIA - MEDIA,NUEVA FLORESTA,CARRERA  26H #50-52,(572) 4380430
12,17600100395104,ESTHER ZORRILLA,ACADEMICA,PRIMARIA,NUEVA FLORESTA,CALLE  59 #24-00,(572) 6805431
12,17600100395105,JARDIN INFANTIL MI BOSQUECITO,ACADEMICA,PRIMARIA,NUEVA FLORESTA,CALLE  57 #24A-03,(572) 4442237
12,176001003918,I.E JUAN XXIII,ACADEMICA,PRIMARIA,SINDICAL,CARRERA 28C # 50-17,(572) 4452548
12,17600100391802,NST EDUC   CIUDAD DE CALI.,ACADEMICA - MEDIA TECNICA,SECUNDARIA - MEDIA,DOCE DE OCTUBRE,CALLE 46 #28F-30,(572) 4416027
12,17600100391803,BELLO HORIZONTE,ACADEMICA,PRIMARIA,BELLO HORIZONTE,CALLE 36A #27A-30,(572) 4436383
12,17600100391804,CENTRO DOCENTE NIÑO JESUS DE PRAGA,ACADEMICA,SECUNDARIA - CIClOS EDUCACIÓN PARA ADULTOS,SINDICAL,CARRERA 28C #44-90,(572) 4454201
12,17600100391805,CENTRO DOCENTE JULIO RINCON,ACADEMICA,PRIMARIA - ACELERACIÓN,JULIO RINCON,CALLE 70 #28E BIS - 01,(572) 4458897
12,17600100391806,SAN BUENAVENTURA,ACADEMICA,PRIMARIA,EDUARDO SANTOS,DIAGONAL 29 #T29 - 30,(572) 4480491
12,176001002555,I. E HERNANDO NAVIA VARON ,ACADEMICA - MEDIA TECNICA,SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,NUEVA FLORESTA,CARRERA 26P N  50-39,(572) 4438995
12,17600100255503,FRAY JOSE IGNACIO ORTIZ,ACADEMICA,PRIMARIA,NUEVA FLORESTA,CARRERA 26 N  52-58,(572) 4438995
12,176001002911,I. E EVA RIASCOS PLATA ,ACADEMICA - CASD,SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,VILLLANUEVA,TRANSVERSAL 25D #26-69,410 22 94
12,17600100291102,ALFONSO BARBERENA,ACADEMICA,PRIMARIA,ALFONSO BARBERENA,CARRERA 25  BIS 33 C ESQUINA, 483 68 59
12,17600100291103,HERNANDO CAICEDO ,ACADEMICA,PRIMARIA,VILLLANUEVA,TRANSVERSAL 29 #27A-00,483 74 90
13,176001025946,I.E SANTA ROSA ,ACADEMICA,PRIMARIA - ACELERACIÓN - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,POBLADO 2,CALLE 72X #28B-35,(572) 4376659
13,176001020383,JOSE CARDONA HOYOS,ACADEMICA,PRIMARIA - CICLOS EDUCACIÓN PARA ADULTOS,COMUNEROS 2,CALLE 72N #28-130,(572) 4374631
13,176001032063,I.E LUZ HAYDEE GUERRERO MOLINA,ACADEMICA - TECNICO INDUSTRIAL,SECUNDARIA - MEDIA - CIClOS EDUCACIÓN PARA ADULTOS,LOS ROBLES,CARRERA 28E2 #72S-02,(572) 4371539
13,17600103206302,RODRIGO LLOREDA CAICEDO,TECNICO INDUSTRIAL,PRIMARIA,POBLADO 1,CARRERA 30 #44A-21,(572) 4374779
13,176001024273,I.E JESUS VILLAFAÑE FRANCO ,MEDIA TECNICA,PRIMARIA - ACELERACIÓN - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,MARROQUIN III,CALLE 72P TRANSVERSAL 72 S ESQUINA,(572) 4260899 - (572) 4266119
13,17600102427302,OMAIRA SÁNCHEZ,ACADEMICA,PRIMARIA - SECUNDARIA,RODRIGO LARA BONILLA,TRANSVERSAL 72 W #72 O- 08,(572) 4260899 - (572) 4266119
13,176001020693,I.E HUMBERTO JORDAN MAZUERA ,ACADEMICA - CASD,PRIMARIA - ACELERACIÓN - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,RICARDO BALCAZAR ,CARRERA 26 I D #71A 1-25 ,(572) 6561290 EXT.102
13,17600102069302,MIGUEL CAMACHO PEREA ,ACADEMICA - CASD,PRIMARIA - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,LOS COMUNEROS II,CARRERA 28A #72F-09,(572) 4369956
13,17600102069303,VILLABLANCA,ACADEMICA,PRIMARIA - ACELERACIÓN - SECUNDARIA - CICLOS EDUCACIÓN PARA ADULTOS,VILLABLANCA,DIAGONAL 72 F  #28A-05,(572) 4423336
13,17600102069304,CHARCO AZUL ,ACADEMICA,PRIMARIA,CHARCO AZUL ,DIAGONAL 70 B1 #22B BIS 01,(572) 6621542
13,176001007115,I.E EL DIAMANTE ,ACADEMICA - MEDIA TECNICA,PRIMARIA - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,EL DIAMANTE ,CARRERA 31 #41-00,(572) 4260678 EXT 104
13,17600100711502,JUAN PABLO II,ACADEMICA,PRIMARIA - ACELERACIÓN,EL VERGEL,CARRERA 33  #42C-09,(572) 4260678 EXT 104
13,176001003161,I.E BARTOLOME LOBO GUERRERO,ACADEMICA - MEDIA TECNICA,PRIMARIA - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,CARLOS LLERAS RESTREPO,CALLE 71 #26E-25,(572) 6632481
13,17600100316102,ENRIQUE OLAYA HERRERA,ACADEMICA,PRIMARIA,ULPIANO LLOREDA,CALLE 71 #25A-15,(572) 4372352
14,176001027001,I.E MONSEÑOR RAMON ARCILA ,ACADEMICA - TECNICO INDUSTRIAL,SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,JOSE MANUEL MARROUIN ,DIAGONAL 26 I3  #T80A-18,(572) 4483128 - (572) 4224459
14,176001027002,RAUL SILVA HOLGUIN,ACADEMICA,PRIMARIA - SECUNDARIA,JOSE MANUEL MARROUIN ,DIAGONAL 26 #83-24,(572) 4483633
14,176001027003,ALFONSO REYES ECHANDIA ,ACADEMICA,PRIMARIA - CICLOS EDUCACIÓN PARA ADULTOS,JOSE MANUEL MARROUIN ,DIAGONAL 26 P 16  #105-06,(572) 4228221
14,176001027004,PUERTA DEL SOL IV Y V ,ACADEMICA,PRIMARIA - ACELERACIÓN - SECUNDARIA - CICLOS EDUCACIÓN PARA ADULTOS,PUERTA DEL SOL ,DIAGONAL 108 #26-104,(572) 6638697
14,176001014359,I.E LA ANUNCIACION ,ACADEMICA - MEDIA TECNICA,PRIMARIA - ACELERACIÓN - SECUNDARIA - MEDIA - CIClOS EDUCACIÓN PARA ADULTOS,ALIRIO MORA,CARRERA 26A #74-00,(572) 4042061
14,17600101435902,LOS NARANJOS,ACADEMICA,PRIMARIA,LOS NARANJOS,CARRERA 26 G CON CALLE 70,(572) 4225399
14,17600101435903,PUERTA DEL SOL,ACADEMICA - MEDIA TECNICA,PRIMARIA - SECUNDARIA - MEDIA,PUERTA DEL SOL,CALLE 84 #26C-04,(572) 4233406
14,176001017374,I.E GABRIELA MISTRAL ,ACADEMICA,PRIMARIA - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,ALFONSO BONILLA ARAGON,CALLE 95 CARRERA 27 D 96-06,(572) 3900731
14,17600101737402,DAMASO ZAPATA,ACADEMICA,PRIMARIA,PILAR TAYRONA,CALLE 92 #28C-12,(572) 8934540
14,17600101737403,ELIAS SALAZAR GARCIA,ACADEMICA,PRIMARIA - ACELERACIÓN - SECUNDARIA,MANUELA BELTRAN,CARRERA 26 H1 CALLE 108 ESQUINA,(572) 4372352
14,17600101737404,ISAIA HERNAN IBARRA,ACADEMICA,PRIMARIA - SECUNDARIA,LAS ORQUIDEAAS,CARRERA 27 F CALLE 112-113,(572) 3935960 - (572) 4379636
15,176001016491,I.E GABRIEL GARCIA MARQUEZ ,ACADEMICA,SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,COMUNEROS 1,CARRERA 29B #54-00,(572) 4264409 - (572) 4005451
15,17600101649102,JOSE RAMON BEJARANO,ACADEMICA,PRIMARIA - ACELERACIÓN,COMUNEROS 1,CARRERA 32A #49-00,(572) 4264409 - (572) 4005451
15,17600101649103,ALFONSO BONILLA NAAR,ACADEMICA,PRIMARIA - ACELERACIÓN,COMUNEROS 1,CALLE 57 #33-11,(572) 4264409 - (572) 4005451
15,176001015975,I.E CIUDAD CORDOBA ,ACADEMICA - MEDIA TECNICA,PRIMARIA - SECUNDARIA - MEDIA - CIClOS EDUCACIÓN PARA ADULTOS,CIUDAD CORDOBA,CARRERA 50 CALLE 50,(572) 4836871- (572) 3937398 - (57) 3187876780
15,17600101597502,ENRIQUE OLAYA HERRERA,ACADEMICA,PRIMARIA - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,EL VALLADO,CALLE 51 #40A-08,(572) 3937398
